EXP True plastic strain,"EXP True stress, Mpa",1 True plastic strain,"1 True stress, Mpa","2 True plastic strain,-","2 True stress, Mpa","3 True plastic strain,-","3 True stress, Mpa","4 True plastic strain,-","4 True stress, Mpa","5 True plastic strain,-","5 True stress, Mpa","6 True plastic strain,-","6 True stress, Mpa","7 True plastic strain,-","7 True stress, Mpa"
0,101.2155762,0.014,944.9351424,0.014,942.6082052,0.014,942.8408989,0.014,943.3062863,0.014,943.7716738,0.014,944.2370612,0.014,944.7024486
0,101.2877274,0.0142,946.3229589,0.0142,943.6152132,0.0142,943.8859877,0.0142,944.4275369,0.0142,944.969086,0.0142,945.5106352,0.0142,946.0521844
0,101.5611954,0.0144,947.6904024,0.0144,944.60919,0.0144,944.9173112,0.0144,945.5335537,0.0144,946.1497962,0.0144,946.7660387,0.0144,947.3822811
0,101.7019424,0.0146,949.0377718,0.0146,945.5904818,0.0146,945.9352108,0.0146,946.6246688,0.0146,947.3141268,0.0146,948.0035848,0.0146,948.6930428
0,102.2175064,0.0148,950.3653618,0.0148,946.559421,0.0148,946.9400151,0.0148,947.7012032,0.0148,948.4623914,0.0148,949.2235796,0.0148,949.9847677
4.45E-06,103.2909851,0.015,951.6734628,0.015,947.5163269,0.015,947.9320405,0.015,948.7634677,0.015,949.5948948,0.015,950.426322,0.015,951.2577492
3.24E-06,104.3750992,0.0152,952.9623609,0.0152,948.4615063,0.0152,948.9115918,0.0152,949.8117627,0.0152,950.7119336,0.0152,951.6121045,0.0152,952.5122754
0,105.4049683,0.0154,954.232338,0.0154,949.3952546,0.0154,949.8789629,0.0154,950.8463796,0.0154,951.8137963,0.0154,952.781213,0.0154,953.7486297
0,106.3775101,0.0156,955.4836718,0.0156,950.3178557,0.0156,950.8344373,0.0156,951.8676005,0.0156,952.9007638,0.0156,953.933927,0.0156,954.9670902
0,107.3295746,0.0158,956.7166361,0.0158,951.2295831,0.0158,951.7782884,0.0158,952.875699,0.0158,953.9731096,0.0158,955.0705202,0.0158,956.1679308
2.05E-06,108.2251816,0.016,957.9315005,0.016,952.1307002,0.016,952.7107802,0.016,953.8709403,0.016,955.0311003,0.016,956.1912604,0.016,957.3514204
4.43E-06,109.1931915,0.0162,959.1285306,0.0162,953.0214608,0.0162,953.6321678,0.0162,954.8535817,0.0162,956.0749957,0.0162,957.2964097,0.0162,958.5178237
